last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Edman, Tommy,669242,2021,26,641,691,11,95,38,13.7,5.5,.262,.387,.307,.694,.274,.401,.301,.320,87.5,9.5,35.1,
Solak, Nick,669256,2021,26,458,511,11,107,34,20.9,6.7,.242,.362,.313,.676,.238,.361,.299,.310,86.9,7,33.5,
Smith, Will,669257,2021,26,414,501,25,101,58,20.2,11.6,.258,.495,.365,.860,.250,.472,.364,.365,90.1,19.4,43.8,
Hays, Austin,669720,2021,26,488,529,22,107,28,20.2,5.3,.256,.461,.306,.767,.245,.432,.328,.298,88.8,12.5,39.2,
Lopez, Nicky,670032,2021,26,497,565,2,74,49,13.1,8.7,.300,.378,.358,.736,.239,.305,.329,.313,86.8,2.8,26.9,
Alvarez, Yordan,670541,2021,24,537,598,33,145,50,24.2,8.4,.277,.531,.346,.877,.280,.571,.370,.351,93.2,14.1,54.2,
Kelenic, Jarred,672284,2021,22,337,377,14,106,36,28.1,9.5,.181,.350,.265,.615,.219,.409,.270,.301,87.5,14.4,39.2,
Robert, Luis,673357,2021,24,275,296,13,61,14,20.6,4.7,.338,.567,.378,.946,.302,.546,.399,.350,91.2,13.8,45.1,
Kim, Ha-Seong,673490,2021,26,267,298,8,71,22,23.8,7.4,.202,.352,.268,.621,.209,.309,.270,.279,86.7,13.6,31.8,
McCormick, Chas,676801,2021,26,284,320,14,104,25,32.5,7.8,.257,.447,.319,.766,.223,.423,.326,.293,90.3,18.6,49.2,
Franco, Wander,677551,2021,20,281,308,7,37,24,12.0,7.8,.288,.463,.347,.810,.276,.407,.348,.337,88.2,9.7,37.6,
Jeffers, Ryan,680777,2021,24,267,293,14,108,22,36.9,7.5,.199,.401,.270,.670,.207,.415,.289,.277,89.2,14,44,
Vaughn, Andrew,683734,2021,23,417,469,15,101,41,21.5,8.7,.235,.396,.309,.705,.243,.434,.306,.321,91.1,9.7,47.3,
